student_id,course,student_cohort,academic_status,failed_subjects,study_skills(attended),referral,pp_meeting,self_assessment,readiness_assessment_results,follow_up,follow_up_type,subject_1,subject_1_assess_1,subject_1_assess_2,subject_1_assess_3,subject_1_assess_4,attendance_1,learn_jcu_issues_1,lecturer_referral_1,subject_2,subject_2_assess_1,subject_2_assess_2,subject_2_assess_3,subject_2_assess_4,attendance_2,learn_jcu_issues_2,lecturer_referral_2,subject_3,subject_3_assess_1,subject_3_assess_2,subject_3_assess_3,subject_3_assess_4,attendance_3,learn_jcu_issues_3,lecturer_referral_3,comments,identified_issues,course_group,risk_assessments
101,master of business administration,New,Satisfactory,0,Essential Skills,Enrollment,Attended,Yes,L/G:9/10 N:5/10 R:8/10,No,No Reply,LB5113,70.2,69.9,70.3,65.3,76.5,Access,Concern for Welfare,LB5202,75.6,86.5,62.1,61.7,57.6,Access,Concern for Welfare,LB5205,70.0,96.3,64.0,70.3,65.8,No Access,Concern for Welfare,Week 7. Missed second assessment. Student contacted and reported feeling overwhelmed. Referred to Academic Support and encouraged to speak with Counsellor.,No Issue Reported,Non-IT,Medium
102,master of business administration,New,Satisfactory,0,Studiocity,Student Counsellor,Attended,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Phone,LB5113,14.5,64.6,55.7,75.8,64.6,No Access,Non Submission,LB5202,68.0,96.0,57.9,48.2,72.5,No Access,Attendance,LB5205,67.2,65.9,58.3,66.7,69.1,Access,Non Submission,Week 8. Student re-engaged with tutorials. Submitted outstanding work with approved extension.,Late Enrollment,Non-IT,High
103,master of education - master of business administration,Transferred,Satisfactory,0,Essential Skills and Reading,Enrollment,Booked,,L/G:9/10 N:5/10 R:8/10,No,Email,ED5097,59.5,76.9,95.3,72.2,57.1,Access,Attendance,ED5880,59.8,72.0,79.6,82.7,61.3,Access,Attendance,LB5113,75.4,0.0,63.0,54.4,60.7,No Access,Attendance,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,Sickness,Non-IT,Low
104,master of education - master of business administration,Return to Study,Satisfactory,0,4R Essential Skills,Lecturer,Attended,,L/G:9/10 N:5/10 R:8/10,No,Phone,ED5097,30.1,53.2,57.8,76.0,75.7,Access,Concern for Welfare,ED5880,70.2,69.9,77.1,64.9,80.0,Access,Non Submission,LB5113,72.8,80.9,71.9,72.2,75.6,Access,Attendance,Week 5. Low engagement in tutorials. Follow-up email sent with participation expectations and links to recorded sessions.,Mental Health,Non-IT,Medium
105,master of education - master of business administration,Return to Study,Satisfactory,0,Essential Skills,Lecturer,Not relevant,,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,ED5097,63.8,1.4,3.1,68.7,77.1,Access,Non Submission,ED5880,74.8,69.0,75.2,64.9,71.6,Access,Non Submission,LB5113,92.7,61.3,71.3,61.7,78.1,Access,Non Submission,Week 3. First contact made. Student reported internet access issues at home. IT support referral provided.,No Issue Reported,Non-IT,Low
106,master of education - master of business administration,SRI to JCUB,Satisfactory,0,Essential Skills,Other,Booked,,L/G:9/10 N:5/10 R:8/10,No,No Reply,ED5097,76.5,79.7,63.2,91.1,71.0,Access,Attendance,ED5880,81.1,80.0,72.8,73.6,61.6,Access,Concern for Welfare,LB5113,69.5,80.2,97.4,70.8,79.7,No Access,Non Submission,Week 5. Student absent from multiple classes. Email sent to check in; student replied citing family issues. Offered flexibility and reminded of support services.,No Issue Reported,Non-IT,Low
107,master of education - master of business administration,SRI to JCUB,Satisfactory,0,Essential Skills and Reading,Student Advocate,Attended,,L/G:9/10 N:5/10 R:8/10,Yes,F2F,ED5097,70.4,67.1,61.5,67.4,75.7,Access,Non Submission,ED5880,71.2,69.4,70.7,78.7,75.0,No Access,Non Submission,LB5113,79.8,71.6,96.8,82.3,84.0,No Access,Attendance,booked to see a doctor. Week 5. Student contacted for low attendance. Reminded of the importance of attending classes. Week 7. Student contacted for missing submission due date. Referred to Counsellor for check in for wellbeing as the student advised mental health challenges.,Poor Time Management,Non-IT,Low
108,master of education - master of business administration,SRI to JCUB,Satisfactory,0,Studiocity,Student Counsellor,Booked,,L/G:9/10 N:5/10 R:8/10,No,No Reply,ED5097,69.0,72.0,87.9,75.6,60.2,Access,Attendance,ED5880,75.6,61.2,82.2,13.0,80.1,Access,Concern for Welfare,LB5113,76.5,80.7,85.1,65.3,72.2,No Access,Concern for Welfare,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,Sickness,Non-IT,Low
109,master of education - master of business administration,SRI to JCUB,Satisfactory,0,Studiocity,Enrollment,Attended,,L/G:9/10 N:5/10 R:8/10,No,Phone,ED5097,80.7,15.7,79.3,74.6,71.6,Access,Attendance,ED5880,81.5,68.4,78.5,70.6,58.2,Access,Attendance,LB5113,76.9,73.4,57.8,66.0,77.0,Access,Concern for Welfare,Week 5. Student absent from multiple classes. Email sent to check in; student replied citing family issues. Offered flexibility and reminded of support services.,Poor Time Management,Non-IT,Low
110,master of education - master of business administration,LOA,Satisfactory,0,Writing,Student Advocate,Not relevant,,L/G:9/10 N:5/10 R:8/10,No,No Reply,ED5097,82.7,74.4,68.4,72.4,72.6,Access,Non Submission,ED5880,71.3,73.4,81.9,62.6,62.8,Access,Non Submission,LB5113,77.2,68.0,21.6,69.0,65.6,Access,Concern for Welfare,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,Late Enrollment,Non-IT,Low
111,master of education - master of business administration,LOA,Satisfactory,0,4R Essential Skills,Student Counsellor,Booked,,L/G:9/10 N:5/10 R:8/10,No,Phone,ED5097,71.0,81.3,73.8,65.4,54.4,Access,Non Submission,ED5880,75.3,70.1,3.3,68.5,69.7,Access,Attendance,LB5113,61.0,57.5,69.8,77.7,77.2,Access,Concern for Welfare,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,No Issue Reported,Non-IT,Low
112,master of education - master of business administration,New,Satisfactory,0,Essential Skills and Reading,Enrollment,Rescheduled,Yes,L/G:9/10 N:5/10 R:8/10,No,Email,ED5097,71.9,66.9,82.4,57.9,74.4,Access,Non Submission,ED5880,74.7,95.0,68.3,65.2,62.8,Access,Attendance,LB5113,73.9,96.3,68.2,79.2,72.6,Access,Attendance,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,No Issue Reported,Non-IT,Medium
113,master of education - master of business administration,First year,Satisfactory,0,4R Essential Skills,Enrollment,Booked,,L/G:9/10 N:5/10 R:8/10,Yes,F2F,ED5097,61.7,37.3,82.4,65.5,74.9,Access,Attendance,ED5880,80.4,77.8,63.3,75.5,64.3,Access,Non Submission,LB5113,72.2,84.0,2.7,67.0,72.1,No Access,Non Submission,Week 5. Low engagement in tutorials. Follow-up email sent with participation expectations and links to recorded sessions.,No Issue Reported,Non-IT,Medium
114,master of education - master of business administration,Transferred,Satisfactory,0,Writing,Student Counsellor,Booked,,L/G:9/10 N:5/10 R:8/10,No,No Reply,ED5097,73.1,78.4,64.0,75.4,75.3,No Access,Attendance,ED5880,84.5,72.1,65.6,70.0,73.4,No Access,Non Submission,LB5113,64.4,74.7,53.8,64.8,85.1,Access,Non Submission,Week 3. First contact made. Student reported internet access issues at home. IT support referral provided.,Sickness,Non-IT,Low
115,master of education - master of business administration,Transferred,Satisfactory,0,Studiocity,Other,Booked,,L/G:9/10 N:5/10 R:8/10,Yes,Email,ED5097,55.6,78.3,66.4,68.2,70.7,Access,Concern for Welfare,ED5880,75.1,68.2,65.0,37.1,69.2,Access,Non Submission,LB5113,70.2,67.0,79.8,80.8,64.7,No Access,Non Submission,Week 6. Student reported working long hours. Referred to careers support for managing work–study balance.,No Issue Reported,Non-IT,Low
116,master of education - master of business administration,SRI to JCUB,Satisfactory,0,Studiocity,Student Advocate,Not relevant,,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,ED5097,71.6,81.4,85.3,76.9,71.0,Access,Non Submission,ED5880,61.7,74.6,11.2,70.4,70.4,Access,Non Submission,LB5113,61.7,78.6,77.1,100.0,81.7,Access,Attendance,Week 7. Student disclosed high stress levels and lack of sleep. Referred to Wellbeing team and reminded of available mental health support.,No Issue Reported,Non-IT,Low
117,master of education - master of business administration,New,Satisfactory,1,Essential Skills,Student Advocate,Rescheduled,Yes,L/G:9/10 N:5/10 R:8/10,No,F2F,ED5097,57.1,75.3,61.4,27.1,57.0,Access,Non Submission,ED5880,59.3,69.2,44.2,62.7,53.2,No Access,Attendance,LB5113,66.5,62.9,62.1,57.6,60.8,Access,Non Submission,Week 7. Missed second assessment. Student contacted and reported feeling overwhelmed. Referred to Academic Support and encouraged to speak with Counsellor.,No Issue Reported,Non-IT,High
118,master of education - master of business administration,Continuing,Satisfactory,0,4R Essential Skills,Enrollment,Not relevant,,L/G:9/10 N:5/10 R:8/10,Yes,Phone,ED5097,82.8,38.6,63.2,76.5,66.3,Access,Non Submission,ED5880,59.5,96.6,74.6,86.7,82.1,Access,Concern for Welfare,LB5113,64.9,74.3,67.0,73.7,71.0,Access,Concern for Welfare,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,Sickness,Non-IT,Low
119,master of education - master of business administration,First year,Satisfactory,0,Writing,Student Advocate,Not relevant,,L/G:9/10 N:5/10 R:8/10,Yes,F2F,ED5097,70.1,64.8,70.8,61.9,63.8,Access,Concern for Welfare,ED5880,61.4,65.8,64.2,19.8,72.9,Access,Non Submission,LB5113,84.9,68.6,75.4,65.6,60.1,No Access,Non Submission,Week 5. Low engagement in tutorials. Follow-up email sent with participation expectations and links to recorded sessions.,No Issue Reported,Non-IT,Medium
120,master of education - master of business administration,New,Satisfactory,0,Referencing,Student Counsellor,Booked,Yes,L/G:9/10 N:5/10 R:8/10,No,Email,ED5097,91.6,57.6,69.7,60.1,68.3,Access,Non Submission,ED5880,69.0,85.5,67.5,73.7,62.1,Access,Concern for Welfare,LB5113,75.2,98.9,70.4,69.6,56.5,Access,Attendance,Week 6. Student reported working long hours. Referred to careers support for managing work–study balance.,No Issue Reported,Non-IT,Medium
121,master of education - master of business administration,First year,Satisfactory,0,Referencing,Student Advocate,Rescheduled,,L/G:9/10 N:5/10 R:8/10,No,F2F,ED5097,64.8,75.7,79.4,69.0,62.7,No Access,Attendance,ED5880,74.1,65.3,73.0,71.2,62.5,No Access,Concern for Welfare,LB5113,75.6,64.2,71.2,93.4,62.4,Access,Non Submission,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,Late Enrollment,Non-IT,Medium
122,master of education - master of business administration,First year,Satisfactory,0,Referencing,Lecturer,Booked,,L/G:9/10 N:5/10 R:8/10,No,F2F,ED5097,73.6,72.7,66.9,62.6,56.7,Access,Attendance,ED5880,85.5,56.1,67.3,62.8,67.0,Access,Concern for Welfare,LB5113,74.1,82.2,64.4,68.0,66.4,Access,Attendance,Week 7. Student disclosed high stress levels and lack of sleep. Referred to Wellbeing team and reminded of available mental health support.,No Issue Reported,Non-IT,Medium
123,master of education - master of business administration,First year,Academic Caution,1,Essential Skills,Other,Booked,,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,ED5097,43.8,53.1,65.0,50.7,78.7,Access,Non Submission,ED5880,44.3,63.4,68.6,47.8,46.4,Access,Non Submission,LB5113,72.3,48.5,41.7,49.0,46.1,Access,Attendance,booked to see a doctor. Week 5. Student contacted for low attendance. Reminded of the importance of attending classes. Week 7. Student contacted for missing submission due date. Referred to Counsellor for check in for wellbeing as the student advised mental health challenges.,Sickness,Non-IT,High
124,master of education - master of business administration,New,Satisfactory,0,Studiocity,Other,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,No,Phone,ED5097,56.9,64.4,80.1,63.7,70.9,No Access,Non Submission,ED5880,78.3,65.9,76.7,64.6,74.4,Access,Concern for Welfare,LB5113,68.9,66.7,56.3,62.8,79.5,Access,Concern for Welfare,Week 8. Student re-engaged with tutorials. Submitted outstanding work with approved extension.,No Issue Reported,Non-IT,Medium
125,master of education - master of business administration,SRI to JCUB,Satisfactory,0,Essential Skills and Reading,Student Counsellor,Attended,,L/G:9/10 N:5/10 R:8/10,Yes,Phone,ED5097,66.6,73.9,70.3,70.8,85.9,Access,Non Submission,ED5880,74.8,78.6,70.4,79.2,68.7,Access,Non Submission,LB5113,77.8,66.7,81.2,59.0,62.6,No Access,Non Submission,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,No Issue Reported,Non-IT,Low
126,master of education - master of business administration,Transferred,Satisfactory,0,Writing,Other,Booked,,L/G:9/10 N:5/10 R:8/10,No,F2F,ED5097,72.4,64.1,65.6,71.0,65.7,No Access,Concern for Welfare,ED5880,76.0,70.8,91.6,75.6,59.0,Access,Attendance,LB5113,66.5,59.4,69.2,94.1,83.4,Access,Non Submission,Week 5. Student absent from multiple classes. Email sent to check in; student replied citing family issues. Offered flexibility and reminded of support services.,No Issue Reported,Non-IT,Low
127,master of education - master of business administration,Transferred,Satisfactory,0,Referencing,Student Counsellor,Attended,,L/G:9/10 N:5/10 R:8/10,Yes,F2F,ED5097,77.4,68.8,85.2,70.7,78.0,Access,Concern for Welfare,ED5880,69.0,75.5,68.8,66.3,50.7,Access,Attendance,LB5113,84.2,69.9,82.0,75.0,73.0,Access,Non Submission,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,No Issue Reported,Non-IT,Low
128,master of education - master of business administration,SRI to JCUB,Satisfactory,0,Writing,Student Advocate,Not relevant,,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,ED5097,63.8,68.4,69.3,59.8,72.9,Access,Non Submission,ED5880,71.2,73.6,69.8,64.9,68.2,No Access,Attendance,LB5113,67.1,66.0,71.5,71.1,56.8,Access,Concern for Welfare,Week 3. Student enrolled late. Missing foundational content from Weeks 1–2. Provided links to recorded lectures and encouraged to attend tutorials for extra support.,No Issue Reported,Non-IT,Low
129,master of education - master of business administration,First year,Satisfactory,0,Writing,Other,Attended,,L/G:9/10 N:5/10 R:8/10,Yes,F2F,ED5097,71.0,71.9,60.7,70.8,69.8,No Access,Concern for Welfare,ED5880,99.5,63.1,66.7,61.2,70.8,Access,Concern for Welfare,LB5113,55.4,70.1,61.4,55.2,67.3,Access,Non Submission,Week 6. Student reported working long hours. Referred to careers support for managing work–study balance.,No Issue Reported,Non-IT,Medium
130,master of education - master of business administration,Continuing,Satisfactory,0,Writing,Student Counsellor,Attended,,L/G:9/10 N:5/10 R:8/10,Yes,Phone,ED5097,75.0,69.1,78.9,70.2,78.5,No Access,Attendance,ED5880,64.2,77.0,60.8,91.6,71.9,Access,Attendance,LB5113,68.1,72.8,63.0,78.0,68.2,No Access,Concern for Welfare,Week 5. Student absent from multiple classes. Email sent to check in; student replied citing family issues. Offered flexibility and reminded of support services.,Sickness,Non-IT,Low
131,master of education - master of business administration,Return to Study,Satisfactory,0,Writing,Other,Attended,,L/G:9/10 N:5/10 R:8/10,No,No Reply,ED5097,71.7,59.9,57.6,61.4,64.2,No Access,Concern for Welfare,ED5880,69.8,67.2,75.4,68.6,71.9,No Access,Concern for Welfare,LB5113,72.6,64.4,64.7,83.7,65.8,No Access,Non Submission,Week 5. Student absent from multiple classes. Email sent to check in; student replied citing family issues. Offered flexibility and reminded of support services.,No Issue Reported,Non-IT,Low
132,master of education - master of business administration,New,Satisfactory,0,Essential Skills,Lecturer,Booked,No,L/G:9/10 N:5/10 R:8/10,Yes,F2F,ED5097,69.3,67.1,65.6,59.2,73.6,Access,Non Submission,ED5880,71.2,73.8,76.4,69.0,59.5,Access,Concern for Welfare,LB5113,72.6,61.3,55.6,68.3,64.9,Access,Concern for Welfare,Week 6. Student reported working long hours. Referred to careers support for managing work–study balance.,Late Enrollment,Non-IT,Medium
133,master of education - master of business administration,Return to Study,Academic Caution,2,Writing,Student Counsellor,Not relevant,,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,ED5097,34.4,30.1,56.3,63.5,73.9,Access,Non Submission,ED5880,65.7,46.2,69.7,56.9,62.7,Access,Attendance,LB5113,56.5,68.0,62.7,59.2,63.4,Access,Non Submission,Week 7. Missed second assessment. Student contacted and reported feeling overwhelmed. Referred to Academic Support and encouraged to speak with Counsellor.,Death in Family,Non-IT,High
134,master of education - master of business administration,SRI to JCUB,Satisfactory,0,Studiocity,Enrollment,Booked,,L/G:9/10 N:5/10 R:8/10,No,F2F,ED5097,64.2,84.2,67.0,91.3,82.8,Access,Concern for Welfare,ED5880,67.5,96.3,63.0,76.2,63.7,No Access,Attendance,LB5113,82.7,71.3,70.2,68.0,67.5,Access,Concern for Welfare,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,No Issue Reported,Non-IT,Low
135,master of education - master of business administration,Continuing,Satisfactory,0,Essential Skills,Other,Rescheduled,,L/G:9/10 N:5/10 R:8/10,No,Phone,ED5097,70.7,75.0,5.6,62.4,83.4,Access,Non Submission,ED5880,71.8,76.5,66.8,67.3,54.8,No Access,Attendance,LB5113,78.6,68.1,73.5,75.0,64.3,No Access,Non Submission,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,Non Submission,Non-IT,Low
136,master of education - master of business administration,New,Satisfactory,0,Referencing,Enrollment,Rescheduled,Yes,L/G:9/10 N:5/10 R:8/10,No,Phone,ED5097,84.4,73.9,61.9,72.9,63.7,Access,Attendance,ED5880,73.9,39.2,60.8,95.7,68.8,Access,Concern for Welfare,LB5113,99.9,75.4,95.3,60.1,69.0,Access,Attendance,Week 8. Student re-engaged with tutorials. Submitted outstanding work with approved extension.,Late Enrollment,Non-IT,Medium
137,master of education - master of business administration,SRI to JCUB,Satisfactory,0,Essential Skills,Enrollment,Attended,,L/G:9/10 N:5/10 R:8/10,No,F2F,ED5097,95.0,33.0,71.1,75.0,68.6,No Access,Non Submission,ED5880,74.3,88.0,67.1,93.7,70.5,No Access,Non Submission,LB5113,76.5,76.4,71.4,77.0,83.5,No Access,Concern for Welfare,Week 5. Low engagement in tutorials. Follow-up email sent with participation expectations and links to recorded sessions.,No Issue Reported,Non-IT,Low
138,master of education - master of business administration,First year,Satisfactory,0,Referencing,Student Counsellor,Attended,,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,ED5097,63.4,91.5,72.2,61.5,64.2,Access,Concern for Welfare,ED5880,59.5,64.4,83.9,72.2,69.3,Access,Non Submission,LB5113,58.3,69.1,62.2,70.6,58.7,Access,Non Submission,Week 3 late enrolment. Student finding it difficult to catch up on Weeks 1 and 2. Week 4. Student contacted on lecturer referral. Student has been sick on arrival,No Issue Reported,Non-IT,Medium
139,master of education - master of business administration,Transferred,Satisfactory,0,Studiocity,Student Advocate,Attended,,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,ED5097,73.1,72.9,73.2,95.9,67.0,No Access,Non Submission,ED5880,66.7,71.7,65.7,77.8,69.2,Access,Concern for Welfare,LB5113,67.2,77.1,69.5,84.5,66.8,No Access,Attendance,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,No Issue Reported,Non-IT,Low
140,master of education - master of business administration,Return to Study,Academic Caution,1,Referencing,Student Counsellor,Attended,,L/G:9/10 N:5/10 R:8/10,Yes,Email,ED5097,66.7,60.5,58.0,59.0,55.4,Access,Concern for Welfare,ED5880,70.2,59.0,60.9,54.0,41.9,Access,Concern for Welfare,LB5113,69.3,61.2,64.2,54.1,24.4,Access,Attendance,Week 5. Low engagement in tutorials. Follow-up email sent with participation expectations and links to recorded sessions.,Late Enrollment,Non-IT,High
141,master of education - master of business administration,LOA,Satisfactory,0,4R Essential Skills,Other,Not relevant,,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,ED5097,67.7,72.7,73.9,68.0,75.2,Access,Concern for Welfare,ED5880,77.7,69.1,82.9,81.0,77.3,Access,Non Submission,LB5113,72.3,68.3,72.7,73.8,74.4,Access,Non Submission,Week 5. Student absent from multiple classes. Email sent to check in; student replied citing family issues. Offered flexibility and reminded of support services.,No Issue Reported,Non-IT,Low
142,master of education - master of business administration,LOA,Satisfactory,0,Studiocity,Lecturer,Not relevant,,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,ED5097,65.8,73.2,97.5,63.8,71.1,Access,Non Submission,ED5880,66.9,74.5,61.1,84.2,70.8,Access,Concern for Welfare,LB5113,76.6,60.7,82.4,81.7,64.9,Access,Non Submission,Week 3. Student enrolled late. Missing foundational content from Weeks 1–2. Provided links to recorded lectures and encouraged to attend tutorials for extra support.,No Issue Reported,Non-IT,Low
143,master of education - master of business administration,Continuing,Satisfactory,0,Writing,Student Counsellor,Attended,,L/G:9/10 N:5/10 R:8/10,No,Phone,ED5097,68.9,70.7,70.5,63.1,79.3,Access,Concern for Welfare,ED5880,64.9,75.5,64.1,69.9,69.6,Access,Non Submission,LB5113,72.9,77.4,22.7,72.9,68.9,Access,Non Submission,Week 3. First contact made. Student reported internet access issues at home. IT support referral provided.,No Issue Reported,Non-IT,Low
144,master of education - master of business administration,First year,Academic Caution,2,Essential Skills and Reading,Student Counsellor,Attended,,L/G:9/10 N:5/10 R:8/10,No,No Reply,ED5097,45.8,44.6,69.6,39.3,49.3,Access,Concern for Welfare,ED5880,62.8,46.7,62.7,50.3,62.5,Access,Non Submission,LB5113,43.4,49.4,52.1,66.6,23.5,Access,Non Submission,Week 6. Student reported working long hours. Referred to careers support for managing work–study balance.,Mental Health,Non-IT,High
145,master of education - master of business administration,Return to Study,Satisfactory,0,Writing,Enrollment,Booked,,L/G:9/10 N:5/10 R:8/10,Yes,Email,ED5097,75.6,72.6,8.2,67.9,73.9,Access,Concern for Welfare,ED5880,52.7,10.7,89.3,71.5,73.5,No Access,Attendance,LB5113,66.3,69.0,71.8,71.9,74.8,Access,Non Submission,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,Sickness,Non-IT,Low
146,master of education - master of business administration,First year,Satisfactory,0,Essential Skills and Reading,Other,Attended,,L/G:9/10 N:5/10 R:8/10,No,Phone,ED5097,54.1,53.0,23.3,61.7,74.9,No Access,Attendance,ED5880,62.9,74.7,58.0,63.8,65.2,No Access,Attendance,LB5113,68.8,58.5,73.5,22.8,67.3,Access,Attendance,Week 5. Student absent from multiple classes. Email sent to check in; student replied citing family issues. Offered flexibility and reminded of support services.,No Issue Reported,Non-IT,Medium
147,master of education - master of business administration,Return to Study,Satisfactory,0,Studiocity,Enrollment,Attended,,L/G:9/10 N:5/10 R:8/10,Yes,Email,ED5097,72.9,67.2,59.9,72.2,67.2,Access,Attendance,ED5880,74.5,76.8,71.8,84.5,71.0,Access,Attendance,LB5113,75.6,73.9,72.8,66.5,81.4,Access,Non Submission,Week 3. First contact made. Student reported internet access issues at home. IT support referral provided.,Death in Family,Non-IT,Low
148,master of education - master of business administration,Continuing,Satisfactory,0,Writing,Lecturer,Attended,,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,ED5097,70.3,63.1,58.7,60.4,65.0,Access,Non Submission,ED5880,64.2,72.5,70.5,81.4,76.1,Access,Concern for Welfare,LB5113,73.9,69.4,74.5,74.1,64.1,No Access,Non Submission,Week 6. Student reported working long hours. Referred to careers support for managing work–study balance.,No Issue Reported,Non-IT,Low
149,master of education - master of business administration,Continuing,Satisfactory,0,Writing,Student Counsellor,Rescheduled,,L/G:9/10 N:5/10 R:8/10,Yes,F2F,ED5097,73.3,63.6,75.5,81.3,73.6,Access,Attendance,ED5880,66.0,65.8,71.0,69.0,69.8,Access,Attendance,LB5113,26.6,61.5,69.4,77.3,71.7,Access,Attendance,Week 8. Student re-engaged with tutorials. Submitted outstanding work with approved extension.,No Issue Reported,Non-IT,Low
150,master of education - master of business administration,LOA,Satisfactory,0,Essential Skills and Reading,Student Counsellor,Not relevant,,L/G:9/10 N:5/10 R:8/10,No,Phone,ED5097,89.1,78.4,74.6,79.5,69.7,No Access,Concern for Welfare,ED5880,73.7,70.4,92.8,82.4,65.8,Access,Non Submission,LB5113,71.3,75.5,62.2,85.4,71.6,Access,Concern for Welfare,Week 8. Student re-engaged with tutorials. Submitted outstanding work with approved extension.,No Issue Reported,Non-IT,Low
151,master of education - master of business administration,First year,Satisfactory,0,Essential Skills,Other,Attended,,L/G:9/10 N:5/10 R:8/10,Yes,Phone,ED5097,99.5,3.7,8.9,72.9,62.6,Access,Attendance,ED5880,74.8,72.7,65.0,98.8,72.2,Access,Concern for Welfare,LB5113,59.0,59.0,59.3,71.6,61.4,No Access,Non Submission,Week 3 late enrolment. Student finding it difficult to catch up on Weeks 1 and 2. Week 4. Student contacted on lecturer referral. Student has been sick on arrival,No Issue Reported,Non-IT,Medium
152,master of education - master of business administration,New,Satisfactory,0,Essential Skills and Reading,Lecturer,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,Yes,F2F,ED5097,5.4,5.5,65.8,8.2,63.8,Access,Attendance,ED5880,65.1,70.4,58.6,65.3,69.2,Access,Concern for Welfare,LB5113,58.6,65.8,69.8,66.9,64.0,No Access,Non Submission,Week 7. Missed second assessment. Student contacted and reported feeling overwhelmed. Referred to Academic Support and encouraged to speak with Counsellor.,No Issue Reported,Non-IT,High
153,master of education - master of business administration,LOA,Satisfactory,0,Studiocity,Enrollment,Booked,,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,ED5097,69.3,87.6,38.7,75.7,73.2,Access,Attendance,ED5880,80.3,80.9,56.3,68.0,64.5,Access,Non Submission,LB5113,55.1,64.0,88.0,67.1,58.3,Access,Attendance,booked to see a doctor. Week 5. Student contacted for low attendance. Reminded of the importance of attending classes. Week 7. Student contacted for missing submission due date. Referred to Counsellor for check in for wellbeing as the student advised mental health challenges.,No Issue Reported,Non-IT,Low
154,master of education - master of business administration,First year,Satisfactory,0,Referencing,Student Advocate,Rescheduled,,L/G:9/10 N:5/10 R:8/10,Yes,F2F,ED5097,67.7,72.1,70.3,60.0,56.1,Access,Concern for Welfare,ED5880,71.1,84.2,74.0,66.3,69.1,Access,Attendance,LB5113,56.9,67.0,69.3,65.5,63.1,Access,Attendance,Week 3 late enrolment. Student finding it difficult to catch up on Weeks 1 and 2. Week 4. Student contacted on lecturer referral. Student has been sick on arrival,No Issue Reported,Non-IT,Medium
155,master of education - master of business administration,LOA,Satisfactory,0,4R Essential Skills,Lecturer,Not relevant,,L/G:9/10 N:5/10 R:8/10,No,Phone,ED5097,77.1,71.5,67.5,75.2,71.1,No Access,Attendance,ED5880,77.1,71.8,49.0,68.4,81.6,Access,Concern for Welfare,LB5113,68.0,69.6,81.8,69.5,70.1,Access,Concern for Welfare,booked to see a doctor. Week 5. Student contacted for low attendance. Reminded of the importance of attending classes. Week 7. Student contacted for missing submission due date. Referred to Counsellor for check in for wellbeing as the student advised mental health challenges.,No Issue Reported,Non-IT,Low
156,master of education - master of business administration,New,Satisfactory,0,Essential Skills,Enrollment,Booked,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Phone,ED5097,67.0,71.7,71.8,69.9,70.7,Access,Concern for Welfare,ED5880,69.1,73.8,55.2,72.1,58.6,No Access,Attendance,LB5113,62.8,80.2,62.3,55.2,66.5,Access,Non Submission,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,No Issue Reported,Non-IT,Medium
157,master of education - master of business administration,Transferred,Satisfactory,0,Essential Skills and Reading,Student Counsellor,Rescheduled,,L/G:9/10 N:5/10 R:8/10,No,Email,ED5097,79.0,75.3,69.3,56.7,66.4,Access,Non Submission,ED5880,70.6,74.3,73.0,68.8,61.6,Access,Attendance,LB5113,63.3,62.5,75.7,71.3,63.1,No Access,Concern for Welfare,Week 5. Low engagement in tutorials. Follow-up email sent with participation expectations and links to recorded sessions.,Mental Health,Non-IT,Low
