student_id,country,course,student_cohort,academic_status,failed_subjects,study_skills(attended),referral,pp_meeting,self_assessment,readiness_assessment_results,follow_up,follow_up_type,subject_1,subject_1_assess_1,subject_1_assess_2,subject_1_assess_3,subject_1_assess_4,attendance_1,learn_jcu_issues_1,lecturer_referral_1,subject_2,subject_2_assess_1,subject_2_assess_2,subject_2_assess_3,subject_2_assess_4,attendance_2,learn_jcu_issues_2,lecturer_referral_2,subject_3,subject_3_assess_1,subject_3_assess_2,subject_3_assess_3,subject_3_assess_4,attendance_3,learn_jcu_issues_3,lecturer_referral_3,comments,identified_issues,course_group,risk,country_weighted,course_weighted,student_cohort_weighted,academic_status_weighted,study_skills(attended)_weighted,referral_weighted,pp_meeting_weighted,self_assessment_weighted,readiness_assessment_results_weighted,follow_up_weighted,follow_up_type_weighted,subject_1_weighted,learn_jcu_issues_1_weighted,lecturer_referral_1_weighted,subject_2_weighted,learn_jcu_issues_2_weighted,lecturer_referral_2_weighted,subject_3_weighted,learn_jcu_issues_3_weighted,lecturer_referral_3_weighted,comments_weighted,identified_issues_weighted,course_group_weighted,readiness_assessment_results_sentiment_score,readiness_assessment_results_sentiment_category,readiness_assessment_results_text_length,readiness_assessment_results_word_count,comments_sentiment_score,comments_sentiment_category,comments_text_length,comments_word_count
132,bhutan,med-mba,new,satisfactory,0,essential skills,lecturer,booked,no,l/g:9/10 n:5/10 r:8/10,yes,f2f,ed5097,69.3,67.1,65.6,59.2,73.6,access,non submission,ed5880,71.2,73.8,76.4,69.0,59.5,access,concern for welfare,lb5113,72.6,61.3,55.6,68.3,64.9,access,concern for welfare,,late enrollment,non-it,medium,15,8,2,1,5,2,2,2.0,1,1,1,7,1,1,7,1,2,5,1,3,5.5,3,1,0,neutral,22,3,0.0,neutral,0,0
133,bhutan,med-mba,return to study,academic caution,2,writing,student counsellor,not relevant,,l/g:9/10 n:5/10 r:8/10,yes,no reply,ed5097,34.4,30.1,56.3,63.5,73.9,access,non submission,ed5880,65.7,46.2,69.7,56.9,62.7,access,attendance,lb5113,56.5,68.0,62.7,59.2,63.4,access,non submission,week 3. student enrolled late. missing foundational content from weeks 1–2. provided links to recorded lectures and encouraged to attend tutorials for extra support.,death in family,non-it,high,15,8,7,3,3,5,4,1.5,1,1,3,7,1,1,7,1,3,5,1,2,4.0,6,1,0,neutral,22,3,0.0,neutral,165,24
136,kenya,med-mba,new,satisfactory,0,referencing,enrollment,rescheduled,yes,l/g:9/10 n:5/10 r:8/10,no,phone,ed5097,84.4,73.9,61.9,72.9,63.7,access,attendance,ed5880,73.9,39.2,60.8,95.7,68.8,access,concern for welfare,lb5113,99.9,75.4,95.3,60.1,69.0,access,attendance,,late enrollment,non-it,medium,20,8,2,1,2,3,1,1.0,1,2,4,7,1,3,7,1,2,5,1,1,5.5,3,1,0,neutral,22,3,0.0,neutral,0,0
138,kenya,med-mba,first year,satisfactory,0,referencing,student counsellor,attended,,l/g:9/10 n:5/10 r:8/10,yes,no reply,ed5097,63.4,91.5,72.2,61.5,64.2,access,concern for welfare,ed5880,59.5,64.4,83.9,72.2,69.3,access,non submission,lb5113,58.3,69.1,62.2,70.6,58.7,access,non submission,,no issue reported,non-it,medium,20,8,4,1,2,5,3,1.5,1,1,3,7,1,2,7,1,1,5,1,2,5.5,2,1,0,neutral,22,3,0.0,neutral,0,0
140,kenya,med-mba,return to study,academic caution,1,referencing,student counsellor,attended,,l/g:9/10 n:5/10 r:8/10,yes,email,ed5097,66.7,60.5,58.0,59.0,55.4,access,concern for welfare,ed5880,70.2,59.0,60.9,54.0,41.9,access,concern for welfare,lb5113,69.3,61.2,64.2,54.1,24.4,access,attendance,week 5. low engagement in tutorials. follow-up email sent with participation expectations and links to recorded sessions.,late enrollment,non-it,high,20,8,7,3,2,5,3,1.5,1,1,2,7,1,2,7,1,2,5,1,1,7.0,3,1,0,neutral,22,3,0.0,neutral,121,17
144,kenya,med-mba,first year,academic caution,2,essential skills and reading,student counsellor,attended,,l/g:9/10 n:5/10 r:8/10,no,no reply,ed5097,45.8,44.6,69.6,39.3,49.3,access,concern for welfare,ed5880,62.8,46.7,62.7,50.3,62.5,access,non submission,lb5113,43.4,49.4,52.1,66.6,23.5,access,non submission,week 6. student submitted assessment late. extension not requested in advance. advised to submit future requests on time and referred to academic skills team.,mental health,non-it,high,20,8,4,3,4,5,3,1.5,1,2,3,7,1,2,7,1,1,5,1,2,9.0,4,1,0,neutral,22,3,0.0,neutral,158,24
146,kenya,med-mba,first year,satisfactory,0,essential skills and reading,other,attended,,l/g:9/10 n:5/10 r:8/10,no,phone,ed5097,54.1,53.0,23.3,61.7,74.9,no access,attendance,ed5880,62.9,74.7,58.0,63.8,65.2,no access,attendance,lb5113,68.8,58.5,73.5,22.8,67.3,access,attendance,week 2. student did not attend orientation. contacted via email with essential course info and moodle access guide. no response yet,no issue reported,non-it,medium,20,8,4,1,4,4,3,1.5,1,2,4,7,2,3,7,2,3,5,1,1,2.0,2,1,0,neutral,22,3,0.0,neutral,131,21
151,kenya,med-mba,first year,satisfactory,0,essential skills,other,attended,,l/g:9/10 n:5/10 r:8/10,yes,phone,ed5097,99.5,3.7,8.9,72.9,62.6,access,attendance,ed5880,74.8,72.7,65.0,98.8,72.2,access,concern for welfare,lb5113,59.0,59.0,59.3,71.6,61.4,no access,non submission,,no issue reported,non-it,medium,20,8,4,1,5,4,3,1.5,1,1,4,7,1,3,7,1,2,5,2,2,5.5,2,1,0,neutral,22,3,0.0,neutral,0,0
152,kenya,med-mba,new,satisfactory,0,essential skills and reading,lecturer,rescheduled,no,l/g:9/10 n:5/10 r:8/10,yes,f2f,ed5097,5.4,5.5,65.8,8.2,63.8,access,attendance,ed5880,65.1,70.4,58.6,65.3,69.2,access,concern for welfare,lb5113,58.6,65.8,69.8,66.9,64.0,no access,non submission,,no issue reported,non-it,high,20,8,2,1,4,2,1,2.0,1,1,1,7,1,3,7,1,2,5,2,2,5.5,2,1,0,neutral,22,3,0.0,neutral,0,0
154,kenya,med-mba,first year,satisfactory,0,referencing,student advocate,rescheduled,,l/g:9/10 n:5/10 r:8/10,yes,f2f,ed5097,67.7,72.1,70.3,60.0,56.1,access,concern for welfare,ed5880,71.1,84.2,74.0,66.3,69.1,access,attendance,lb5113,56.9,67.0,69.3,65.5,63.1,access,attendance,,no issue reported,non-it,medium,20,8,4,1,2,1,1,1.5,1,1,1,7,1,2,7,1,3,5,1,1,5.5,2,1,0,neutral,22,3,0.0,neutral,0,0
156,kenya,med-mba,new,satisfactory,0,essential skills,enrollment,booked,yes,l/g:9/10 n:5/10 r:8/10,yes,phone,ed5097,67.0,71.7,71.8,69.9,70.7,access,concern for welfare,ed5880,69.1,73.8,55.2,72.1,58.6,no access,attendance,lb5113,62.8,80.2,62.3,55.2,66.5,access,non submission,week 4. student submitted first assessment late. offered academic skills support and advised on extension procedures.,no issue reported,non-it,medium,20,8,2,1,5,3,2,1.0,1,1,4,7,1,2,7,2,3,5,1,2,1.0,2,1,0,neutral,22,3,0.0,neutral,117,16
159,kenya,med-mba,excluded,excluded,4,referencing,other,not relevant,,l/g:9/10 n:5/10 r:8/10,no,email,ed5097,0.0,0.0,0.0,0.0,27.8,no access,non submission,ed5880,0.0,0.0,0.0,0.0,18.4,no access,non submission,lb5113,0.0,0.0,0.0,0.0,56.0,no access,non submission,,sickness,non-it,high,20,8,8,4,2,4,4,1.5,1,2,2,7,2,1,7,2,1,5,2,2,5.5,5,1,0,neutral,22,3,0.0,neutral,0,0
168,kenya,med-mba,new,satisfactory,0,writing,other,rescheduled,yes,l/g:9/10 n:5/10 r:8/10,no,email,ed5097,67.7,74.0,69.7,68.1,70.6,access,concern for welfare,ed5880,54.8,64.0,66.8,66.5,78.1,access,non submission,lb5113,68.2,65.1,65.1,71.3,67.4,no access,non submission,,no issue reported,non-it,medium,20,8,2,1,3,4,1,1.0,1,2,2,7,1,2,7,1,1,5,2,2,5.5,2,1,0,neutral,22,3,0.0,neutral,0,0
175,kenya,med-mba,loa,conditional,0,4r essential skills,student counsellor,attended,,l/g:9/10 n:5/10 r:8/10,no,phone,ed5097,37.0,79.6,59.4,54.5,72.6,access,non submission,ed5880,45.7,54.3,46.6,44.4,50.0,access,non submission,lb5113,61.9,54.0,58.8,44.6,68.1,access,non submission,week 5. low engagement in tutorials. follow-up email sent with participation expectations and links to recorded sessions.,late enrollment,non-it,high,20,8,6,2,6,5,3,1.5,1,2,4,7,1,1,7,1,1,5,1,2,7.0,3,1,0,neutral,22,3,0.0,neutral,121,17
176,kenya,med-mba,first year,satisfactory,0,studiocity,enrollment,rescheduled,,l/g:9/10 n:5/10 r:8/10,yes,f2f,ed5097,60.5,64.4,70.6,63.0,63.5,access,non submission,ed5880,73.6,75.4,77.0,72.2,65.8,no access,non submission,lb5113,62.2,71.6,76.1,85.0,74.0,access,attendance,,no issue reported,non-it,medium,20,8,4,1,1,3,1,1.5,1,1,1,7,1,1,7,2,1,5,1,1,5.5,2,1,0,neutral,22,3,0.0,neutral,0,0
178,kenya,med-mba,first year,academic caution,1,essential skills,lecturer,not relevant,,l/g:9/10 n:5/10 r:8/10,yes,phone,ed5097,24.2,39.8,54.2,45.2,55.8,access,attendance,ed5880,65.2,76.2,41.1,47.3,51.8,access,non submission,lb5113,55.7,44.5,57.5,57.8,65.5,no access,non submission,week 3. student enrolled late. missing foundational content from weeks 1–2. provided links to recorded lectures and encouraged to attend tutorials for extra support.,death in family,non-it,high,20,8,4,3,5,2,4,1.5,1,1,4,7,1,3,7,1,1,5,2,2,4.0,6,1,0,neutral,22,3,0.0,neutral,165,24
183,kenya,med-mba,first year,satisfactory,0,referencing,lecturer,attended,,l/g:9/10 n:5/10 r:8/10,yes,phone,ed5097,75.2,71.4,73.5,74.5,73.8,access,concern for welfare,ed5880,77.7,85.5,71.2,68.6,65.2,access,non submission,lb5113,56.8,75.3,70.3,65.2,60.6,access,attendance,,no issue reported,non-it,medium,20,8,4,1,2,2,3,1.5,1,1,4,7,1,2,7,1,1,5,1,1,5.5,2,1,0,neutral,22,3,0.0,neutral,0,0
185,kenya,med-mba,first year,satisfactory,0,referencing,other,booked,,l/g:9/10 n:5/10 r:8/10,no,f2f,ed5097,60.0,67.9,64.4,72.5,67.7,access,non submission,ed5880,70.6,67.1,64.2,78.5,58.7,access,attendance,lb5113,63.7,75.8,72.7,68.9,64.3,access,concern for welfare,,no issue reported,non-it,medium,20,8,4,1,2,4,2,1.5,1,2,1,7,1,1,7,1,3,5,1,3,5.5,2,1,0,neutral,22,3,0.0,neutral,0,0
187,nepal,med-mba,new,satisfactory,0,referencing,student counsellor,booked,no,l/g:9/10 n:5/10 r:8/10,no,email,ed5097,25.3,72.7,76.8,73.0,80.2,no access,non submission,ed5880,23.5,65.3,90.6,69.4,73.3,access,non submission,lb5113,75.4,58.8,68.7,67.8,58.6,access,concern for welfare,,no issue reported,non-it,high,19,8,2,1,2,5,2,2.0,1,2,2,7,2,1,7,1,1,5,1,3,5.5,2,1,0,neutral,22,3,0.0,neutral,0,0
189,nigeria,med-mba,new,satisfactory,0,referencing,other,booked,yes,l/g:9/10 n:5/10 r:8/10,yes,phone,ed5097,99.2,77.9,70.3,60.1,52.6,access,non submission,ed5880,73.4,80.9,12.5,62.2,71.3,access,attendance,lb5113,67.3,63.9,68.3,72.2,69.0,access,attendance,,no issue reported,non-it,medium,24,8,2,1,2,4,2,1.0,1,1,4,7,1,1,7,1,3,5,1,1,5.5,2,1,0,neutral,22,3,0.0,neutral,0,0
194,bangladesh,minftech,first year,satisfactory,0,writing,student counsellor,attended,,l/g:9/10 n:5/10 r:8/10,no,phone,cp5046,0.2,73.0,63.9,27.1,62.6,access,concern for welfare,cp5047,65.7,53.7,69.0,68.0,66.0,access,non submission,cp5503,61.2,68.7,71.5,67.5,72.9,access,non submission,,no issue reported,it,high,16,10,4,1,3,5,3,1.5,1,2,4,9,1,2,9,1,1,9,1,2,5.5,2,2,0,neutral,22,3,0.0,neutral,0,0
195,bangladesh,minftech,new,satisfactory,0,4r essential skills,enrollment,rescheduled,no,l/g:9/10 n:5/10 r:8/10,no,email,cp5046,69.1,96.8,80.5,78.6,68.9,access,concern for welfare,cp5047,71.1,74.0,66.0,66.5,64.6,access,non submission,cp5503,74.3,68.3,9.2,65.3,54.0,access,non submission,week 2. student did not attend orientation. contacted via email with essential course info and moodle access guide. no response yet,late enrollment,it,medium,16,10,2,1,6,3,1,2.0,1,2,2,9,1,2,9,1,1,9,1,2,2.0,3,2,0,neutral,22,3,0.0,neutral,131,21
196,bangladesh,minftech,first year,satisfactory,0,studiocity,other,booked,,l/g:9/10 n:5/10 r:8/10,yes,email,cp5046,77.1,64.1,69.9,68.8,58.2,no access,non submission,cp5047,57.9,64.3,52.8,9.0,66.8,access,attendance,cp5503,32.8,80.1,68.0,65.3,70.8,access,attendance,week 4. student submitted first assessment late. offered academic skills support and advised on extension procedures.,no issue reported,it,medium,16,10,4,1,1,4,2,1.5,1,1,2,9,2,1,9,1,3,9,1,1,1.0,2,2,0,neutral,22,3,0.0,neutral,117,16
198,bangladesh,minftech,new,satisfactory,0,referencing,enrollment,booked,yes,l/g:9/10 n:5/10 r:8/10,yes,no reply,cp5046,82.2,60.0,55.7,78.2,77.4,access,concern for welfare,cp5047,29.5,78.4,90.7,65.4,57.6,access,attendance,cp5503,98.7,65.4,78.9,69.4,78.2,access,non submission,,late enrollment,it,medium,16,10,2,1,2,3,2,1.0,1,1,3,9,1,2,9,1,3,9,1,2,5.5,3,2,0,neutral,22,3,0.0,neutral,0,0
199,bangladesh,minftech,first year,satisfactory,0,studiocity,lecturer,booked,,l/g:9/10 n:5/10 r:8/10,no,f2f,cp5046,74.4,66.9,52.7,98.5,78.4,access,non submission,cp5047,63.8,78.0,90.3,59.3,71.6,access,attendance,cp5503,84.5,58.0,79.2,73.3,60.7,access,non submission,,no issue reported,it,medium,16,10,4,1,1,2,2,1.5,1,2,1,9,1,1,9,1,3,9,1,2,5.5,2,2,0,neutral,22,3,0.0,neutral,0,0
202,bhutan,minftech,return to study,academic caution,2,4r essential skills,enrollment,rescheduled,,l/g:9/10 n:5/10 r:8/10,yes,phone,cp5046,81.2,50.1,90.8,52.2,49.5,no access,attendance,cp5047,62.8,44.9,82.0,59.5,55.9,access,attendance,cp5503,46.9,41.5,85.4,61.0,46.1,access,non submission,week 7. student disclosed high stress levels and lack of sleep. referred to wellbeing team and reminded of available mental health support.,sickness,it,high,15,10,7,3,6,3,1,1.5,1,1,4,9,2,3,9,1,3,9,1,2,8.0,5,2,0,neutral,22,3,0.0,neutral,139,22
203,bhutan,minftech,first year,academic caution,0,referencing,lecturer,not relevant,,l/g:9/10 n:5/10 r:8/10,yes,no reply,cp5046,39.1,53.6,60.4,52.2,56.1,access,non submission,cp5047,45.2,66.4,60.1,52.7,35.6,access,non submission,cp5503,34.3,45.5,49.1,77.9,69.4,access,concern for welfare,week 2. student did not attend orientation. contacted via email with essential course info and moodle access guide. no response yet,death in family,it,high,15,10,4,3,2,2,4,1.5,1,1,3,9,1,1,9,1,1,9,1,3,2.0,6,2,0,neutral,22,3,0.0,neutral,131,21
204,bhutan,minftech,return to study,academic caution,2,writing,other,booked,,l/g:9/10 n:5/10 r:8/10,no,f2f,cp5046,57.4,45.6,80.9,77.7,69.2,access,concern for welfare,cp5047,37.5,35.6,46.6,47.5,45.4,access,concern for welfare,cp5503,69.0,57.3,39.6,48.1,54.9,access,attendance,week 2. student did not attend orientation. contacted via email with essential course info and moodle access guide. no response yet,mental health,it,medium,15,10,7,3,3,4,2,1.5,1,2,1,9,1,2,9,1,2,9,1,1,2.0,4,2,0,neutral,22,3,0.0,neutral,131,21
207,bhutan,minftech,new,satisfactory,0,studiocity,lecturer,not relevant,yes,l/g:9/10 n:5/10 r:8/10,yes,email,cp5046,69.8,72.5,59.5,63.8,60.7,access,non submission,cp5047,81.5,78.2,66.2,76.6,66.6,access,attendance,cp5503,73.7,90.9,61.0,59.1,69.9,access,non submission,,no issue reported,it,medium,15,10,2,1,1,2,4,1.0,1,1,2,9,1,1,9,1,3,9,1,2,5.5,2,2,0,neutral,22,3,0.0,neutral,0,0
209,bhutan,minftech,new,satisfactory,0,essential skills and reading,lecturer,rescheduled,yes,l/g:9/10 n:5/10 r:8/10,no,email,cp5046,64.6,64.9,57.8,58.7,69.4,access,non submission,cp5047,66.2,70.9,60.8,71.0,81.2,no access,concern for welfare,cp5503,61.8,60.3,55.1,63.9,67.1,access,attendance,week 2. student did not attend orientation. contacted via email with essential course info and moodle access guide. no response yet,no issue reported,it,medium,15,10,2,1,4,2,1,1.0,1,2,2,9,1,1,9,2,2,9,1,1,2.0,2,2,0,neutral,22,3,0.0,neutral,131,21
211,bhutan,minftech,sri to jcub,satisfactory,0,essential skills and reading,student counsellor,booked,,l/g:9/10 n:5/10 r:8/10,no,phone,cp5046,1.4,75.7,67.1,74.3,70.2,access,attendance,cp5047,61.4,76.2,62.9,97.8,66.5,access,non submission,cp5503,75.9,67.8,79.8,84.1,73.6,access,attendance,,death in family,it,medium,15,10,1,1,4,5,2,1.5,1,2,4,9,1,3,9,1,1,9,1,1,5.5,6,2,0,neutral,22,3,0.0,neutral,0,0
212,bhutan,minftech,loa,academic caution,1,referencing,student counsellor,booked,,l/g:9/10 n:5/10 r:8/10,no,no reply,cp5046,64.6,69.0,71.3,57.0,63.2,access,concern for welfare,cp5047,74.9,45.7,62.0,51.7,70.6,access,non submission,cp5503,46.5,75.0,65.7,71.1,73.3,access,non submission,week 2. student did not attend orientation. contacted via email with essential course info and moodle access guide. no response yet,death in family,it,high,15,10,6,3,2,5,2,1.5,1,2,3,9,1,2,9,1,1,9,1,2,2.0,6,2,0,neutral,22,3,0.0,neutral,131,21
213,bhutan,minftech,return to study,academic caution,2,essential skills,enrollment,attended,,l/g:9/10 n:5/10 r:8/10,no,email,cp5046,41.4,59.5,59.8,64.2,79.9,no access,concern for welfare,cp5047,49.7,43.3,73.7,49.9,42.7,access,concern for welfare,cp5503,56.8,68.6,75.4,51.4,66.4,access,concern for welfare,week 3. student enrolled late. missing foundational content from weeks 1–2. provided links to recorded lectures and encouraged to attend tutorials for extra support.,sickness,it,high,15,10,7,3,5,3,3,1.5,1,2,2,9,2,2,9,1,2,9,1,3,4.0,5,2,0,neutral,22,3,0.0,neutral,165,24
214,bhutan,minftech,first year,satisfactory,0,studiocity,lecturer,not relevant,,l/g:9/10 n:5/10 r:8/10,yes,f2f,cp5046,74.1,59.9,61.7,63.7,62.3,no access,non submission,cp5047,58.2,66.1,6.1,51.8,60.4,access,concern for welfare,cp5503,62.8,58.4,69.5,92.7,76.5,access,concern for welfare,,no issue reported,it,medium,15,10,4,1,1,2,4,1.5,1,1,1,9,2,1,9,1,2,9,1,3,5.5,2,2,0,neutral,22,3,0.0,neutral,0,0
216,china,minftech,return to study,conditional,0,referencing,student counsellor,attended,,l/g:9/10 n:5/10 r:8/10,yes,f2f,cp5046,80.6,53.9,63.0,37.1,48.2,access,non submission,cp5047,38.3,58.3,58.1,39.0,53.4,no access,attendance,cp5503,36.7,12.1,75.1,48.4,52.1,access,concern for welfare,week 3. first contact made. student reported internet access issues at home. it support referral provided.,death in family,it,high,21,10,7,2,2,5,3,1.5,1,1,1,9,1,1,9,2,3,9,1,3,3.0,6,2,0,neutral,22,3,-0.2,negative,106,16
223,india,minftech,sri to jcub,satisfactory,0,4r essential skills,lecturer,attended,,l/g:9/10 n:5/10 r:8/10,no,email,cp5046,21.7,59.8,69.4,68.4,66.6,no access,non submission,cp5047,96.5,67.2,73.4,81.7,71.7,access,concern for welfare,cp5503,64.6,81.6,60.5,39.0,76.2,access,non submission,,late enrollment,it,medium,13,10,1,1,6,2,3,1.5,1,2,2,9,2,1,9,1,2,9,1,2,5.5,3,2,0,neutral,22,3,0.0,neutral,0,0
224,india,minftech,new,satisfactory,0,writing,student advocate,not relevant,no,l/g:9/10 n:5/10 r:8/10,yes,phone,cp5046,57.4,59.6,30.3,62.2,55.3,no access,concern for welfare,cp5047,72.3,75.4,65.4,64.6,65.6,access,attendance,cp5503,69.9,52.5,70.7,69.2,56.4,access,concern for welfare,,no issue reported,it,high,13,10,2,1,3,1,4,2.0,1,1,4,9,2,2,9,1,3,9,1,3,5.5,2,2,0,neutral,22,3,0.0,neutral,0,0
225,india,minftech,new,satisfactory,0,4r essential skills,student advocate,not relevant,yes,l/g:9/10 n:5/10 r:8/10,yes,email,cp5046,71.5,77.6,60.8,70.9,76.1,access,non submission,cp5047,4.4,61.3,71.3,65.9,62.3,access,concern for welfare,cp5503,73.8,71.1,64.5,90.6,71.3,access,attendance,,no issue reported,it,medium,13,10,2,1,6,1,4,1.0,1,1,2,9,1,1,9,1,2,9,1,1,5.5,2,2,0,neutral,22,3,0.0,neutral,0,0
226,india,minftech,first year,satisfactory,0,referencing,lecturer,not relevant,,l/g:9/10 n:5/10 r:8/10,yes,phone,cp5046,72.1,72.4,82.6,99.3,62.5,access,non submission,cp5047,55.6,80.7,67.1,76.2,75.3,no access,non submission,cp5503,59.2,73.5,70.0,78.1,65.9,access,attendance,,late enrollment,it,medium,13,10,4,1,2,2,4,1.5,1,1,4,9,1,1,9,2,1,9,1,1,5.5,3,2,0,neutral,22,3,0.0,neutral,0,0
229,india,minftech,new,satisfactory,0,writing,student advocate,rescheduled,no,l/g:9/10 n:5/10 r:8/10,no,phone,cp5046,68.4,70.2,69.0,78.6,74.2,access,concern for welfare,cp5047,65.6,77.4,72.7,61.3,60.0,access,non submission,cp5503,57.7,71.9,16.6,67.2,75.0,access,non submission,,no issue reported,it,medium,13,10,2,1,3,1,1,2.0,1,2,4,9,1,2,9,1,1,9,1,2,5.5,2,2,0,neutral,22,3,0.0,neutral,0,0
230,india,minftech,first year,satisfactory,0,writing,lecturer,rescheduled,,l/g:9/10 n:5/10 r:8/10,yes,email,cp5046,80.4,62.7,74.3,60.5,63.9,no access,attendance,cp5047,60.0,66.6,51.0,79.2,66.4,access,non submission,cp5503,70.8,68.8,72.6,68.1,75.9,access,non submission,week 4. student submitted first assessment late. offered academic skills support and advised on extension procedures.,late enrollment,it,medium,13,10,4,1,3,2,1,1.5,1,1,2,9,2,3,9,1,1,9,1,2,1.0,3,2,0,neutral,22,3,0.0,neutral,117,16
231,india,minftech,loa,satisfactory,2,studiocity,student advocate,not relevant,,l/g:9/10 n:5/10 r:8/10,no,no reply,cp5046,62.7,65.0,73.3,87.1,61.8,access,attendance,cp5047,60.5,67.3,73.4,70.1,79.5,no access,non submission,cp5503,68.4,57.4,61.9,63.0,54.7,no access,concern for welfare,week 4. student submitted first assessment late. offered academic skills support and advised on extension procedures.,no issue reported,it,medium,13,10,6,1,1,1,4,1.5,1,2,3,9,1,3,9,2,1,9,2,3,1.0,2,2,0,neutral,22,3,0.0,neutral,117,16
232,india,minftech,first year,satisfactory,0,writing,other,rescheduled,,l/g:9/10 n:5/10 r:8/10,yes,email,cp5046,66.9,60.4,60.4,66.6,63.0,access,non submission,cp5047,60.3,64.9,60.0,65.5,61.9,access,concern for welfare,cp5503,73.8,61.2,64.8,65.6,70.7,no access,non submission,week 4. student submitted first assessment late. offered academic skills support and advised on extension procedures.,no issue reported,it,medium,13,10,4,1,3,4,1,1.5,1,1,2,9,1,1,9,1,2,9,2,2,1.0,2,2,0,neutral,22,3,0.0,neutral,117,16
233,india,minftech,new,satisfactory,0,essential skills and reading,enrollment,attended,no,l/g:9/10 n:5/10 r:8/10,yes,email,cp5046,63.7,63.7,74.4,98.2,69.5,access,non submission,cp5047,73.2,49.2,72.5,77.4,60.8,access,non submission,cp5503,69.6,61.9,74.1,66.0,76.7,access,non submission,week 4. student submitted first assessment late. offered academic skills support and advised on extension procedures.,no issue reported,it,medium,13,10,2,1,4,3,3,2.0,1,1,2,9,1,1,9,1,1,9,1,2,1.0,2,2,0,neutral,22,3,0.0,neutral,117,16
238,india,minftech,excluded,excluded,4,referencing,other,rescheduled,,l/g:9/10 n:5/10 r:8/10,yes,no reply,cp5046,0.0,0.0,0.0,0.0,30.7,access,attendance,cp5047,0.0,0.0,0.0,0.0,16.8,no access,concern for welfare,cp5503,0.0,0.0,0.0,0.0,32.4,access,attendance,,no issue reported,it,high,13,10,8,4,2,4,1,1.5,1,1,3,9,1,3,9,2,2,9,1,1,5.5,2,2,0,neutral,22,3,0.0,neutral,0,0
241,india,minftech,new,satisfactory,0,essential skills,lecturer,not relevant,yes,l/g:9/10 n:5/10 r:8/10,yes,email,cp5046,65.8,91.8,82.2,57.4,68.0,access,concern for welfare,cp5047,11.7,65.4,58.6,68.2,74.8,no access,attendance,cp5503,59.1,63.9,80.1,62.3,64.4,access,non submission,week 2. student did not attend orientation. contacted via email with essential course info and moodle access guide. no response yet,no issue reported,it,medium,13,10,2,1,5,2,4,1.0,1,1,2,9,1,2,9,2,3,9,1,2,2.0,2,2,0,neutral,22,3,0.0,neutral,131,21
242,india,minftech,transferred,satisfactory,2,essential skills,student counsellor,not relevant,,l/g:9/10 n:5/10 r:8/10,no,email,cp5046,25.9,97.2,68.3,71.5,65.7,access,concern for welfare,cp5047,66.0,56.7,84.3,69.2,66.4,access,concern for welfare,cp5503,68.5,72.5,73.2,55.5,81.2,access,non submission,,no issue reported,it,high,13,10,3,1,5,5,4,1.5,1,2,2,9,1,2,9,1,2,9,1,2,5.5,2,2,0,neutral,22,3,0.0,neutral,0,0
243,india,minftech,sri to jcub,satisfactory,0,essential skills,lecturer,not relevant,,l/g:9/10 n:5/10 r:8/10,yes,phone,cp5046,68.9,72.8,91.5,12.3,87.0,access,concern for welfare,cp5047,65.2,63.9,78.6,90.4,69.1,access,attendance,cp5503,94.7,80.0,79.3,65.0,87.2,access,non submission,,no issue reported,it,medium,13,10,1,1,5,2,4,1.5,1,1,4,9,1,2,9,1,3,9,1,2,5.5,2,2,0,neutral,22,3,0.0,neutral,0,0
245,kenya,minftech,loa,academic caution,1,essential skills and reading,lecturer,rescheduled,,l/g:9/10 n:5/10 r:8/10,no,phone,cp5046,70.5,58.3,55.4,59.5,49.4,access,concern for welfare,cp5047,57.6,59.9,45.5,45.2,38.0,access,concern for welfare,cp5503,37.7,33.5,54.5,47.0,58.1,no access,attendance,week 4. student submitted first assessment late. offered academic skills support and advised on extension procedures.,no issue reported,it,high,20,10,6,3,4,2,1,1.5,1,2,4,9,1,2,9,1,2,9,2,1,1.0,2,2,0,neutral,22,3,0.0,neutral,117,16
246,kenya,minftech,first year,academic caution,2,4r essential skills,other,booked,,l/g:9/10 n:5/10 r:8/10,yes,f2f,cp5046,62.3,46.9,70.7,39.7,72.5,no access,attendance,cp5047,45.6,69.7,52.7,53.6,65.8,no access,attendance,cp5503,67.7,60.8,44.5,37.7,30.2,access,concern for welfare,week 3. student enrolled late. missing foundational content from weeks 1–2. provided links to recorded lectures and encouraged to attend tutorials for extra support.,late enrollment,it,high,20,10,4,3,6,4,2,1.5,1,1,1,9,2,3,9,2,3,9,1,3,4.0,3,2,0,neutral,22,3,0.0,neutral,165,24
247,kenya,minftech,first year,satisfactory,0,essential skills,lecturer,attended,,l/g:9/10 n:5/10 r:8/10,yes,phone,cp5046,62.8,58.2,65.7,79.2,72.2,access,attendance,cp5047,90.6,57.7,70.4,70.3,69.4,access,non submission,cp5503,39.1,64.9,64.8,66.6,69.4,access,non submission,,no issue reported,it,medium,20,10,4,1,5,2,3,1.5,1,1,4,9,1,3,9,1,1,9,1,2,5.5,2,2,0,neutral,22,3,0.0,neutral,0,0
